# dc:title,內建詞庫,
# dc:rights,Copyright (c) 2025 libchewing Core Team,
# dc:license,LGPL-2.1-or-later,
# dc:identifier,2025.11.17,
㳫,1,ㄗㄢˇ
㴒,1,ㄧˋ
㴓,1,ㄕㄞ
㴙,1,ㄓㄚˇ
㴝,1,ㄌㄧˊ
㴩,1,ㄩㄥ
㴲,1,ㄙ
㴷,1,ㄉㄢ
㴻,1,ㄕㄨˋ
㵆,1,ㄏㄠˋ
㵌,1,ㄒㄩㄣˊ
㵎,1,ㄐㄧㄢˋ
㵑,1,ㄏㄜˋ
㵟,1,ㄨㄟˊ
㵢,1,ㄌㄟˊ
㵩,1,ㄧˋ
㵪,1,ㄒㄧㄢˊ
㵪,1,ㄧㄢˋ
㵯,1,ㄈㄥˊ
㵲,1,ㄨˇ
㵵,1,ㄐㄩˋ
㵵,1,ㄗㄡˋ
㵽,1,ㄌㄟˇ
㶅,1,ㄒㄩㄝˊ
㶈,1,ㄧㄥˊ
㶏,1,ㄧㄣˇ
㶑,1,ㄌㄧㄢˋ
㶭,1,ㄧㄡˇ
㶴,1,ㄔˇ
㶿,1,ㄅㄛˊ
㷆,1,ㄈㄨˋ
㷇,1,ㄏㄨㄟ
㷈,1,ㄜˋ
㷉,1,ㄨㄟˋ
㷉,1,ㄩˋ
㷍,1,ㄌㄨㄣˊ
㷓,1,ㄗㄨㄥˇ
㷟,1,ㄊㄨㄟ
㷫,1,ㄑㄧㄥˇ
㷮,1,ㄗㄠ
㷳,1,ㄧㄢˋ
㷴,1,ㄌㄧˋ
㷷,1,ㄐㄩㄢˇ
㷷,1,ㄐㄩㄢˋ
㷼,1,ㄧㄢ
㷼,1,ㄧㄢˋ
㸸,0,ㄎㄡˇ
㸸,0,ㄏㄡˇ
㸸,0,ㄡˇ
㹀,1,ㄗˋ
㹂,1,ㄑㄧㄢˇ
㹃,1,ㄈㄟˋ
㹕,1,ㄏㄨㄢ
㹭,1,ㄙˋ
㹴,1,ㄍㄥˇ
㹴犬,10,ㄍㄥˇ ㄑㄩㄢˇ
㺖,1,ㄏㄢˋ
㺨,1,ㄙ
㺩,1,ㄅㄚ
㺪,1,ㄆㄨˊ
㺭,1,ㄗˇ
㺱,1,ㄖㄥˊ
㺸,1,ㄆㄧㄥˊ
㺿,1,ㄧˊ
㻂,1,ㄆㄧㄥˊ
㻊,1,ㄇㄣˊ
㻌,1,ㄊㄨˊ
㻑,1,ㄐㄧˋ
㻖,1,ㄉㄞˋ
㻗,1,ㄅㄟˋ
㻗,1,ㄆㄟˋ
㻗,1,ㄈㄟˋ
㻞,0,ㄅㄧㄣ
㻞,1,ㄅㄢ
㻡,1,ㄉㄧㄝˊ
㻡,1,ㄒㄧㄝˋ
㻧,1,ㄉㄨㄛˋ
㻫,1,ㄅㄧˋ
㻰,1,ㄓˋ
㻺,1,ㄌㄧˋ
㻿,1,ㄕㄨˇ
㼄,1,ㄐㄧ
㼇,1,ㄒㄧ
㼇,1,ㄨㄟˋ
㼎,1,ㄅㄛˊ
㼜,1,ㄤˋ
㼿,1,ㄊㄨㄥˊ
㽘,1,ㄍㄤˇ
㽙,1,ㄩㄣˇ
㽣,1,ㄩˋ
㽹,1,ㄈㄢˇ
㽹,1,ㄈㄢˋ
㾀,1,ㄑㄧㄝˋ
㾀,1,ㄑㄩˇ
㾏,1,ㄐㄧㄝˋ
㾏,1,ㄧㄚˊ
㾐,1,ㄌㄧˋ
㾓,1,ㄩㄢ
㿈,1,ㄩㄥ
㿗,1,ㄊㄨㄟˊ
㿗,1,ㄏㄨㄟ
㿜,1,ㄅㄧㄝ
㿜,1,ㄅㄧㄝˇ
㿥,1,ㄏㄨˊ
㿭,1,ㄌㄜˋ
㿭,1,ㄔㄜˋ
㿹,1,ㄊㄚˋ
㿺,1,ㄅㄛ
䀄,1,ㄇㄥˊ
䀉,1,ㄑㄧㄠˊ
䀐,1,ㄕㄢ
䀟,1,ㄈㄟˋ
䀹,1,ㄕㄢˇ
䁅,1,ㄇㄥˋ
䁓,1,ㄗㄨㄥ
䁗,1,ㄎㄞˇ
䁢,1,ㄒㄩㄢˊ
䁥,1,ㄋㄧˋ
䁫,1,ㄏㄨˊ
䁯,1,ㄒㄧ
䁱,1,ㄎㄡ
䂻,1,ㄓㄥˋ
䂿,1,ㄊㄚˋ
䃈,1,ㄐㄧㄝ
䃎,1,ㄓㄚˇ
䃘,1,ㄎㄥ
䃘,1,ㄐㄧㄥ
䃘,1,ㄐㄧㄥˋ
䃦,1,ㄉㄨㄣ
䃰,1,ㄘㄚ
䃸,1,ㄐㄧㄣ
䃺,1,ㄇㄛˊ
䃺,1,ㄇㄛˋ
䄂,1,ㄌㄧㄡˋ
䄃,1,ㄧㄤ
䄄,1,ㄧㄣ
䄉,1,ㄜˊ
䄍,1,ㄓㄚˋ
䄎,1,ㄑㄧˇ
䄲,1,ㄖㄨㄟˋ
䄻,1,ㄊㄠ
䄻,1,ㄊㄧㄠ
䄻,1,ㄔㄠˊ
䅧,1,ㄧㄢ
䅬,1,ㄞˋ
䅮,1,ㄘㄤˋ
䅼,1,ㄇㄢˊ
